State,County,inc2013,inc2014,inc2015,stateRank,pctChg2014,pctChg2015,stateRankChg
AK,Northwest Arctic Borough,41906.00,45849.00,46918.00,23,9.4,2.3,17
AK,Petersburg Borough,62867.00,63866.00,66323.00,3,1.6,3.8,7
AK,Prince of Wales-Hyder Census Area,36775.00,39055.00,40205.00,26,6.2,2.9,13
AK,Sitka City and Borough,62487.00,64202.00,64122.00,5,2.7,-0.1,26
AK,Skagway Municipality,83136.00,84280.00,78171.00,1,1.4,-7.2,29
AK,Southeast Fairbanks Census Area,38642.00,40831.00,43256.00,25,5.7,5.9,3
AK,Valdez-Cordova Census Area,54491.00,59975.00,63236.00,6,10.1,5.4,4
AK,Wrangell City and Borough,42201.00,46830.00,47214.00,22,11,0.8,20
AK,Yakutat City and Borough,62187.00,62483.00,60333.00,10,0.5,-3.4,28
AK,Yukon-Koyukuk Census Area,49014.00,51412.00,51496.00,18,4.9,0.2,24
AZ,,36524.00,38006.00,39156.00,,4.1,3,
AZ,Apache,26851.00,28189.00,29597.00,12,5,5,3
AZ,Cochise,35424.00,36742.00,38133.00,4,3.7,3.8,7
AZ,Coconino,37553.00,39596.00,41018.00,2,5.4,3.6,8
AZ,Gila,33327.00,34548.00,36066.00,6,3.7,4.4,5
AZ,Graham,27971.00,29326.00,29731.00,11,4.8,1.4,13
AZ,Greenlee,36457.00,37388.00,37240.00,5,2.6,-0.4,15
AZ,La Paz,28511.00,29043.00,29963.00,10,1.9,3.2,10
AZ,Maricopa,39301.00,40939.00,42092.00,1,4.2,2.8,11
AZ,Mohave,26735.00,28248.00,29505.00,13,5.7,4.4,4
AZ,Navajo,26368.00,27672.00,29132.00,14,4.9,5.3,2
AZ,Pima,36548.00,37733.00,38536.00,3,3.2,2.1,12
AZ,Pinal,25835.00,26796.00,27682.00,15,3.7,3.3,9
AZ,Santa Cruz,31354.00,33254.00,33646.00,8,6.1,1.2,14
AZ,Yavapai,32222.00,34231.00,35545.00,7,6.2,3.8,6
AZ,Yuma,29314.00,29262.00,31574.00,9,-0.2,7.9,1
AR,,35993.00,37582.00,38252.00,,4.4,1.8,
AR,Arkansas,42526.00,40226.00,39643.00,4,-5.4,-1.4,66
AR,Ashley,32290.00,31142.00,32013.00,39,-3.6,2.8,14
AR,Baxter,31721.00,33426.00,34751.00,14,5.4,4,4
AR,Benton,64305.00,71617.00,71787.00,1,11.4,0.2,53
AR,Boone,30132.00,31789.00,32166.00,38,5.5,1.2,44
AR,Bradley,29343.00,31787.00,32522.00,34,8.3,2.3,25
AR,Calhoun,28321.00,29021.00,30770.00,49,2.5,6,1
AR,Carroll,28259.00,31130.00,30526.00,50,10.2,-1.9,73
AR,Chicot,35208.00,32351.00,32289.00,36,-8.1,-0.2,55
